study;contrast;method;region_1;region_2;direction
3;SZ-HC;SBVW;Cerebellum_6_R;Postcentral_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Whole Brain;0
5;MDD-HC;STR;Amygdala_L;OFCpost_L;-1
5;SZ-HC;STR;Amygdala_L;Frontal_Mid_2_L;-1
5;MDD-HC;STR;Amygdala_L;Frontal_Mid_2_L;-1
5;SZ-HC;STR;Amygdala_L;ACC_sup_L;-1
5;SZ-HC;STR;Amygdala_L;ACC_sup_R;-1
5;MDD-HC;STR;Amygdala_R;OFCpost_L;-1
5;SZ-HC;STR;Amygdala_R;Frontal_Mid_2_L;-1
5;MDD-HC;STR;Amygdala_R;Frontal_Mid_2_L;-1
5;SZ-HC;STR;Amygdala_R;ACC_sup_L;-1
5;SZ-HC;STR;Amygdala_R;ACC_sup_R;-1
5;SZ-HC;STR;Amygdala_L;Frontal Lobe;0
5;SZ-HC;STR;Amygdala_R;Frontal Lobe;0
5;MDD-HC;STR;Amygdala_L;Frontal Lobe;0
5;MDD-HC;STR;Amygdala_R;Frontal Lobe;0
7;BD-HC;SBVW;Cingulate_Post_L;Angular_R;1
7;BD-HC;SBVW;Cingulate_Post_R;Angular_R;1
7;BD-HC;SBVW;Frontal_Mid_2_R;Left Brainstem;1
7;BD-HC;SBVW;Frontal_Mid_2_R;Right Brainstem;1
7;BD-HC;SBVW;Cingulate_Post_L;Whole Brain;0
7;BD-HC;SBVW;Cingulate_Post_R;Whole Brain;0
7;BD-HC;SBVW;Frontal_Mid_2_L;Whole Brain;0
7;BD-HC;SBVW;Frontal_Mid_2_R;Whole Brain;0
7;BD-HC;SBVW;Amygdala_L;Whole Brain;0
7;BD-HC;SBVW;Amygdala_R;Whole Brain;0
7;BD-HC;ICA;Whole Brain;Whole Brain;0
10;SZ-HC;ICA;Cerebellum Posterior Lobe;Cerebellum Posterior Lobe;1
10;SZ-HC;ICA;Parietal_Inf_R;Parietal_Inf_R;1
10;SZ-HC;ICA;Cingulate_Post_R;Cingulate_Post_R;1
10;SZ-HC;ICA;Frontal_Med_Orb_L;Frontal_Med_Orb_L;-1
10;SZ-HC;ICA;Precuneus_L;Precuneus_L;-1
10;SZ-HC;ICA;Frontal_Sup_2_L;Frontal_Sup_2_L;-1
10;SZ-HC;ICA;Putamen_L;Putamen_L;-1
10;SZ-HC;ICA;ACC_sup_L;ACC_sup_L;-1
10;SZ-HC;ICA;Frontal_Mid_2_L;Frontal_Mid_2_L;-1
10;SZ-HC;ICA;Frontal_Mid_2_R;Frontal_Mid_2_R;-1
10;SZ-HC;ICA;Temporal_Sup_L;Temporal_Sup_L;1
10;SZ-HC;ICA;Whole Brain;Whole Brain;0
10;SZ-HC;ICA;Insula_L;Insula_L;0
10;SZ-HC;ICA;Insula_R;Insula_R;0
10;SZ-HC;ICA;Cingulum_Ant_L;Cingulum_Ant_L;0
10;SZ-HC;ICA;Cingulum_Ant_R;Cingulum_Ant_R;0
11;SZ-HC;SBCW;Frontoparietal;Frontoparietal;1
11;SZ-HC;SBCW;Thalamus_L;Somatomotor;1
11;SZ-HC;SBCW;Thalamus_R;Somatomotor;1
11;SZ-HC;SBCW;Caudate_L;Somatomotor;1
11;SZ-HC;SBCW;Caudate_R;Somatomotor;1
11;SZ-HC;SBCW;Putamen_L;Somatomotor;1
11;SZ-HC;SBCW;Putamen_R;Somatomotor;1
11;SZ-HC;SBCW;Visual1;Frontoparietal;1
11;SZ-HC;SBCW;Visual2;Frontoparietal;1
11;SZ-HC;SBCW;Somatomotor;Frontoparietal;1
11;SZ-HC;SBCW;Thalamus_L;Frontoparietal;-1
11;SZ-HC;SBCW;Thalamus_R;Frontoparietal;-1
11;SZ-HC;SBCW;Caudate_L;Frontoparietal;-1
11;SZ-HC;SBCW;Caudate_R;Frontoparietal;-1
11;SZ-HC;SBCW;Putamen_L;Frontoparietal;-1
11;SZ-HC;SBCW;Putamen_R;Frontoparietal;-1
11;SZ-HC;SBCW;Auditory;Frontoparietal;-1
11;SZ-HC;SBCW;Whole Brain;Whole Brain;0
16;BD-HC;STR;Amygdala_L;OFCant_R;-1
16;BD-HC;STR;Amygdala_L;Frontal_Mid_2_L;-1
16;BD-HC;STR;Amygdala_L;Frontal_Mid_2_L;-1
16;BD-HC;STR;Amygdala_R;OFCant_R;-1
16;BD-HC;STR;Amygdala_R;Frontal_Mid_2_L;-1
16;BD-HC;STR;Amygdala_R;Frontal_Mid_2_L;-1
16;BD-HC;STR;Amygdala_L;Frontal Lobe;0
16;BD-HC;STR;Amygdala_R;Frontal Lobe;0
18;BD-HC;SBVW;Insula_L;ACC_pre_L;1
18;BD-HC;SBVW;Insula_L;ACC_pre_R;1
18;BD-HC;SBVW;Insula_L;Frontal_Sup_Medial_L;1
18;BD-HC;SBVW;Insula_L;Frontal_Sup_Medial_R;1
18;BD-HC;SBVW;Insula_L;Hippocampus_L;1
18;BD-HC;SBVW;Insula_L;Thalamus_L;1
18;BD-HC;SBVW;Insula_L;Thalamus_R;1
18;BD-HC;SBVW;Insula_L;Frontal_Mid_2_L;1
18;SZ-HC;SBVW;Insula_L;Thalamus_L;1
18;SZ-HC;SBVW;Insula_L;Thalamus_R;1
18;SZ-HC;SBVW;Insula_L;Frontal_Sup_Medial_L;1
18;SZ-HC;SBVW;Insula_L;Frontal_Sup_Medial_R;1
18;SZ-HC;SBVW;Insula_L;Frontal_Mid_2_L;1
18;SZ-HC;SBVW;Insula_L;Hippocampus_L;1
18;SZ-HC;SBVW;Insula_L;Caudate_R;1
18;BD-HC;SBVW;Insula_L;Hippocampus_L;1
18;BD-HC;SBVW;Insula_L;Frontal_Mid_2_L;1
18;BD-HC;SBVW;Insula_L;Thalamus_L;1
18;BD-HC;SBVW;Insula_L;Thalamus_R;1
18;BD-HC;SBVW;Insula_L;brodmann_area_9_l;1
18;BD-HC;SBVW;Insula_L;brodmann_area_9_r;1
18;SZ-HC;SBVW;Insula_L;Thalamus_L;1
18;SZ-HC;SBVW;Insula_L;Thalamus_R;1
18;SZ-HC;SBVW;Insula_L;brodmann_area_9_l;1
18;SZ-HC;SBVW;Insula_L;brodmann_area_9_r;1
18;SZ-HC;SBVW;Insula_L;Caudate_R;1
18;SZ-HC;SBVW;Insula_L;Frontal_Mid_2_L;1
18;SZ-HC;SBVW;Insula_L;Hippocampus_L;1
18;BD-HC;SBVW;Insula_R;ACC_pre_L;1
18;BD-HC;SBVW;Insula_R;ACC_pre_R;1
18;BD-HC;SBVW;Insula_R;Frontal_Sup_Medial_L;1
18;BD-HC;SBVW;Insula_R;Frontal_Sup_Medial_R;1
18;BD-HC;SBVW;Insula_R;Hippocampus_L;1
18;BD-HC;SBVW;Insula_R;Thalamus_L;1
18;BD-HC;SBVW;Insula_R;Thalamus_R;1
18;BD-HC;SBVW;Insula_R;Frontal_Mid_2_L;1
18;SZ-HC;SBVW;Insula_R;Thalamus_L;1
18;SZ-HC;SBVW;Insula_R;Thalamus_R;1
18;SZ-HC;SBVW;Insula_R;Frontal_Sup_Medial_L;1
18;SZ-HC;SBVW;Insula_R;Frontal_Sup_Medial_R;1
18;SZ-HC;SBVW;Insula_R;Frontal_Mid_2_L;1
18;SZ-HC;SBVW;Insula_R;Hippocampus_L;1
18;SZ-HC;SBVW;Insula_R;Caudate_R;1
18;BD-HC;SBVW;Insula_R;Hippocampus_L;1
18;BD-HC;SBVW;Insula_R;Frontal_Mid_2_L;1
18;BD-HC;SBVW;Insula_R;Thalamus_L;1
18;BD-HC;SBVW;Insula_R;Thalamus_R;1
18;BD-HC;SBVW;Insula_R;brodmann_area_9_l;1
18;BD-HC;SBVW;Insula_R;brodmann_area_9_r;1
18;SZ-HC;SBVW;Insula_R;Thalamus_L;1
18;SZ-HC;SBVW;Insula_R;Thalamus_R;1
18;SZ-HC;SBVW;Insula_R;brodmann_area_9_l;1
18;SZ-HC;SBVW;Insula_R;brodmann_area_9_r;1
18;SZ-HC;SBVW;Insula_R;Caudate_R;1
18;SZ-HC;SBVW;Insula_R;Frontal_Mid_2_L;1
18;SZ-HC;SBVW;Insula_R;Hippocampus_L;1
18;BD-HC;SBVW;Insula_L;Whole Brain;0
18;BD-HC;SBVW;Insula_R;Whole Brain;0
18;SZ-HC;SBVW;Insula_L;Whole Brain;0
18;SZ-HC;SBVW;Insula_R;Whole Brain;0
20;SZ-HC;ReHo;Cuneus_L;Cuneus_L;-1
20;SZ-HC;ReHo;Cuneus_R;Cuneus_R;-1
20;SZ-HC;ReHo;Postcentral_R;Postcentral_R;-1
20;SZ-HC;ReHo;Thalamus_L;Thalamus_L;-1
20;SZ-HC;ReHo;Thalamus_R;Thalamus_R;-1
20;SZ-HC;ALFF;Cuneus_L;Cuneus_L;-1
20;SZ-HC;ALFF;Cuneus_R;Cuneus_R;-1
20;SZ-HC;ALFF;Postcentral_R;Postcentral_R;-1
20;SZ-HC;ALFF;Whole Brain;Whole Brain;0
20;SZ-HC;ReHo;Whole Brain;Whole Brain;0
22;SZ-HC;ICA;Frontal_Inf_Tri_R;Frontal_Inf_Tri_R;-1
22;SZ-HC;ICA;OFCant_L;OFCant_L;0
22;SZ-HC;ICA;OFCant_R;OFCant_R;0
22;SZ-HC;ICA;OFCpost_L;OFCpost_L;0
22;SZ-HC;ICA;OFCpost_R;OFCpost_R;0
22;SZ-HC;ICA;Frontal_Inf_Orb_2_L;Frontal_Inf_Orb_2_L;0
22;SZ-HC;ICA;Frontal_Inf_Orb_2_R;Frontal_Inf_Orb_2_R;0
22;SZ-HC;ICA;Frontal_Med_Orb_L;Frontal_Med_Orb_L;0
22;SZ-HC;ICA;Frontal_Med_Orb_R;Frontal_Med_Orb_R;0
22;SZ-HC;ICA;Frontal_Mid_2_L;Frontal_Mid_2_L;0
22;SZ-HC;ICA;Frontal_Mid_2_R;Frontal_Mid_2_R;0
22;SZ-HC;ICA;Frontal_Inf_Tri_L;Frontal_Inf_Tri_L;0
22;SZ-HC;ICA;Frontal_Inf_Tri_R;Frontal_Inf_Tri_R;0
22;SZ-HC;ICA;Frontal_Sup_Medial_L;Frontal_Sup_Medial_L;0
22;SZ-HC;ICA;Frontal_Sup_Medial_R;Frontal_Sup_Medial_R;0
22;SZ-HC;ICA;Frontal_Sup_2_L;Frontal_Sup_2_L;0
22;SZ-HC;ICA;Frontal_Sup_2_R;Frontal_Sup_2_R;0
22;SZ-HC;ICA;Parietal_Inf_L;Parietal_Inf_L;0
22;SZ-HC;ICA;Parietal_Inf_R;Parietal_Inf_R;0
22;SZ-HC;ICA;Precuneus_L;Precuneus_L;0
22;SZ-HC;ICA;Precuneus_R;Precuneus_R;0
22;SZ-HC;ICA;Temporal_Sup_L;Temporal_Sup_L;0
22;SZ-HC;ICA;Temporal_Sup_R;Temporal_Sup_R;0
22;SZ-HC;ICA;Temporal_Mid_L;Temporal_Mid_L;0
22;SZ-HC;ICA;Temporal_Mid_R;Temporal_Mid_R;0
22;SZ-HC;ICA;Cingulum_Ant_L;Cingulum_Ant_L;0
22;SZ-HC;ICA;Cingulum_Ant_R;Cingulum_Ant_R;0
22;SZ-HC;ICA;Temporal_Pole_Sup_L;Temporal_Pole_Sup_L;0
22;SZ-HC;ICA;Insula_L;Insula_L;0
22;SZ-HC;ICA;Cerebellum Posterior Lobe;Cerebellum Posterior Lobe;0
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Insula_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Putamen_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Insula_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Putamen_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Insula_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Insula_L;Insula_L;-1
23;BD-HC;SBCW;Insula_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Insula_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Insula_L;Putamen_L;-1
23;BD-HC;SBCW;Insula_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Insula_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Insula_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Insula_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Insula_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Insula_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Olfactory_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Olfactory_L;Insula_L;-1
23;BD-HC;SBCW;Olfactory_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Olfactory_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Olfactory_L;Putamen_L;-1
23;BD-HC;SBCW;Olfactory_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Olfactory_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Olfactory_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Olfactory_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Olfactory_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Olfactory_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Rectus_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Rectus_L;Insula_L;-1
23;BD-HC;SBCW;Rectus_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Rectus_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Rectus_L;Putamen_L;-1
23;BD-HC;SBCW;Rectus_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Rectus_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Rectus_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Rectus_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Rectus_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Rectus_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Insula_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Putamen_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Inf_Tri_L;-1
23;BD-HC;SBCW;Putamen_L;Insula_L;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Putamen_L;Putamen_L;-1
23;BD-HC;SBCW;Putamen_L;Rolandic_Oper_L;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Putamen_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Inf_Orb_2_R;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Sup_2_R;-1
23;BD-HC;SBCW;Putamen_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Putamen_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Putamen_R;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Pallidum_L;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Pallidum_R;Frontal_Sup_2_L;-1
23;BD-HC;SBCW;Putamen_L;Rolandic_Oper_R;-1
23;BD-HC;SBCW;Putamen_R;Rolandic_Oper_R;-1
23;BD-HC;SBCW;Pallidum_L;Rolandic_Oper_R;-1
23;BD-HC;SBCW;Pallidum_R;Rolandic_Oper_R;-1
23;BD-HC;SBCW;ParaHippocampal_L;Frontal_Inf_Orb_2_L;-1
23;BD-HC;SBCW;Insula_L;Frontal_Mid_Orb_L;-1
23;BD-HC;SBCW;ParaHippocampal_L;Temporal_Sup_L;-1
23;BD-HC;SBCW;Frontal_Sup_2_L;Temporal_Sup_R;-1
23;BD-HC;SBCW;Insula_L;Insula_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Insula_L;-1
23;BD-HC;SBCW;Temporal_Sup_L;Insula_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Insula_L;-1
23;BD-HC;SBCW;Frontal_Mid_Orb_L;Insula_L;-1
23;BD-HC;SBCW;Temporal_Sup_R;Insula_L;-1
23;BD-HC;SBCW;Frontal_Inf_Orb_2_L;Whole Brain;0
23;BD-HC;SBCW;Temporal_Pole_Sup_L;Whole Brain;0
23;BD-HC;SBCW;Insula_L;Whole Brain;0
23;BD-HC;SBCW;Olfactory_L;Whole Brain;0
23;BD-HC;SBCW;Rectus_L;Whole Brain;0
23;BD-HC;SBCW;Frontal_Sup_Orb_L;Whole Brain;0
23;BD-HC;SBCW;Putamen_L;Whole Brain;0
23;BD-HC;SBCW;Whole Brain;Whole Brain;0
27;SZ-HC;SBCW;Heschl_L;Frontal Lobe;-1
27;SZ-HC;SBCW;Heschl_R;Frontal Lobe;-1
27;SZ-HC;SBCW;Cuneus_L;Frontal Lobe;-1
27;SZ-HC;SBCW;Cuneus_R;Frontal Lobe;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Occipital Lobe;-1
27;SZ-HC;SBCW;Paracentral_Lobule_R;Occipital Lobe;-1
27;SZ-HC;SBCW;Fusiform_L;Occipital Lobe;-1
27;SZ-HC;SBCW;Fusiform_R;Occipital Lobe;-1
27;SZ-HC;SBCW;Heschl_L;Precentral_L;-1
27;SZ-HC;SBCW;Heschl_L;Precentral_R;-1
27;SZ-HC;SBCW;Heschl_L;Postcentral_L;-1
27;SZ-HC;SBCW;Heschl_L;Postcentral_R;-1
27;SZ-HC;SBCW;Heschl_L;Lingual_L;-1
27;SZ-HC;SBCW;Heschl_L;Lingual_R;-1
27;SZ-HC;SBCW;Heschl_L;Fusiform_L;-1
27;SZ-HC;SBCW;Heschl_L;Fusiform_R;-1
27;SZ-HC;SBCW;Heschl_L;Temporal_Sup_L;-1
27;SZ-HC;SBCW;Heschl_L;Temporal_Mid_L;-1
27;SZ-HC;SBCW;Heschl_L;OFClat_L;-1
27;SZ-HC;SBCW;Heschl_L;brodmann_area_11_l;-1
27;SZ-HC;SBCW;Heschl_L;brodmann_area_11_r;-1
27;SZ-HC;SBCW;Heschl_L;Temporal_Sup_R;-1
27;SZ-HC;SBCW;Heschl_L;Frontal_Sup_Medial_L;-1
27;SZ-HC;SBCW;Heschl_L;Frontal_Sup_Medial_R;-1
27;SZ-HC;SBCW;Heschl_L;Occipital_Sup_L;-1
27;SZ-HC;SBCW;Heschl_L;Occipital_Sup_R;-1
27;SZ-HC;SBCW;Heschl_L;Occipital_Mid_L;-1
27;SZ-HC;SBCW;Heschl_L;Occipital_Mid_R;-1
27;SZ-HC;SBCW;Heschl_L;Occipital_Inf_L;-1
27;SZ-HC;SBCW;Heschl_L;Occipital_Inf_R;-1
27;SZ-HC;SBCW;Heschl_R;Precentral_L;-1
27;SZ-HC;SBCW;Heschl_R;Precentral_R;-1
27;SZ-HC;SBCW;Heschl_R;Postcentral_L;-1
27;SZ-HC;SBCW;Heschl_R;Postcentral_R;-1
27;SZ-HC;SBCW;Heschl_R;Lingual_L;-1
27;SZ-HC;SBCW;Heschl_R;Lingual_R;-1
27;SZ-HC;SBCW;Heschl_R;Fusiform_L;-1
27;SZ-HC;SBCW;Heschl_R;Fusiform_R;-1
27;SZ-HC;SBCW;Heschl_R;Temporal_Sup_L;-1
27;SZ-HC;SBCW;Heschl_R;Temporal_Mid_L;-1
27;SZ-HC;SBCW;Heschl_R;OFClat_L;-1
27;SZ-HC;SBCW;Heschl_R;brodmann_area_11_l;-1
27;SZ-HC;SBCW;Heschl_R;brodmann_area_11_r;-1
27;SZ-HC;SBCW;Heschl_R;Temporal_Sup_R;-1
27;SZ-HC;SBCW;Heschl_R;Frontal_Sup_Medial_L;-1
27;SZ-HC;SBCW;Heschl_R;Frontal_Sup_Medial_R;-1
27;SZ-HC;SBCW;Heschl_R;Occipital_Sup_L;-1
27;SZ-HC;SBCW;Heschl_R;Occipital_Sup_R;-1
27;SZ-HC;SBCW;Heschl_R;Occipital_Mid_L;-1
27;SZ-HC;SBCW;Heschl_R;Occipital_Mid_R;-1
27;SZ-HC;SBCW;Heschl_R;Occipital_Inf_L;-1
27;SZ-HC;SBCW;Heschl_R;Occipital_Inf_R;-1
27;SZ-HC;SBCW;Cuneus_L;Heschl_L;-1
27;SZ-HC;SBCW;Cuneus_L;Precuneus_R;-1
27;SZ-HC;SBCW;Cuneus_L;Precentral_R;-1
27;SZ-HC;SBCW;Cuneus_L;Postcentral_R;-1
27;SZ-HC;SBCW;Cuneus_L;Cingulate_Mid_R;-1
27;SZ-HC;SBCW;Cuneus_L;Lingual_L;-1
27;SZ-HC;SBCW;Cuneus_L;Postcentral_L;-1
27;SZ-HC;SBCW;Cuneus_L;Cuneus_R;-1
27;SZ-HC;SBCW;Cuneus_L;Heschl_L;-1
27;SZ-HC;SBCW;Cuneus_L;Temporal_Sup_L;-1
27;SZ-HC;SBCW;Cuneus_L;Precentral_L;-1
27;SZ-HC;SBCW;Cuneus_R;Heschl_L;-1
27;SZ-HC;SBCW;Cuneus_R;Precuneus_R;-1
27;SZ-HC;SBCW;Cuneus_R;Precentral_R;-1
27;SZ-HC;SBCW;Cuneus_R;Postcentral_R;-1
27;SZ-HC;SBCW;Cuneus_R;Cingulate_Mid_R;-1
27;SZ-HC;SBCW;Cuneus_R;Lingual_L;-1
27;SZ-HC;SBCW;Cuneus_R;Postcentral_L;-1
27;SZ-HC;SBCW;Cuneus_R;Cuneus_R;-1
27;SZ-HC;SBCW;Cuneus_R;Heschl_L;-1
27;SZ-HC;SBCW;Cuneus_R;Temporal_Sup_L;-1
27;SZ-HC;SBCW;Cuneus_R;Precentral_L;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Precentral_L;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Precentral_R;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Postcentral_L;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Postcentral_R;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Lingual_L;-1
27;SZ-HC;SBCW;Paracentral_Lobule_L;Lingual_R;-1
