study,contrast,method,region_1,region_2,direction
5,MDD-HC,STR,Frontoparietal,Language,0
5,MDD-HC,STR,Cingulo-Opercular,Language,0
5,MDD-HC,STR,Default,Language,0
5,MDD-HC,STR,Language,Orbito-Affective,0
5,MDD-HC,STR,Posterior-Multimodal,Somatomotor,0
5,MDD-HC,STR,Language,Posterior-Multimodal,0
5,MDD-HC,STR,Dorsal-attention,Posterior-Multimodal,0
5,MDD-HC,STR,Frontoparietal,Posterior-Multimodal,0
5,MDD-HC,STR,Cingulo-Opercular,Posterior-Multimodal,0
5,MDD-HC,STR,Default,Posterior-Multimodal,0
5,MDD-HC,STR,Orbito-Affective,Posterior-Multimodal,0
7,BD-HC,SBVW,Default,Default,1
7,BD-HC,SBVW,Frontoparietal,Visual1,1
7,BD-HC,SBVW,Frontoparietal,Visual2,1
7,BD-HC,SBVW,Frontoparietal,Somatomotor,1
7,BD-HC,SBVW,Auditory,Frontoparietal,1
7,BD-HC,SBVW,Dorsal-attention,Frontoparietal,1
7,BD-HC,SBVW,Frontoparietal,Frontoparietal,1
7,BD-HC,SBVW,Cingulo-Opercular,Frontoparietal,1
7,BD-HC,SBVW,Default,Frontoparietal,1
7,BD-HC,SBVW,Frontoparietal,Posterior-Multimodal,1
7,BD-HC,SBVW,Frontoparietal,Orbito-Affective,1
7,BD-HC,SBVW,Default,Visual1,0
7,BD-HC,SBVW,Default,Visual2,0
7,BD-HC,SBVW,Default,Somatomotor,0
7,BD-HC,SBVW,Auditory,Default,0
7,BD-HC,SBVW,Default,Language,0
7,BD-HC,SBVW,Default,Dorsal-attention,0
7,BD-HC,SBVW,Default,Frontoparietal,0
7,BD-HC,SBVW,Cingulo-Opercular,Default,0
7,BD-HC,SBVW,Default,Default,0
7,BD-HC,SBVW,Default,Posterior-Multimodal,0
7,BD-HC,SBVW,Default,Ventral-Multimodal,0
7,BD-HC,SBVW,Default,Orbito-Affective,0
7,BD-HC,SBVW,Frontoparietal,Visual1,0
7,BD-HC,SBVW,Frontoparietal,Visual2,0
7,BD-HC,SBVW,Frontoparietal,Somatomotor,0
7,BD-HC,SBVW,Auditory,Frontoparietal,0
7,BD-HC,SBVW,Frontoparietal,Language,0
7,BD-HC,SBVW,Dorsal-attention,Frontoparietal,0
7,BD-HC,SBVW,Frontoparietal,Frontoparietal,0
7,BD-HC,SBVW,Cingulo-Opercular,Frontoparietal,0
7,BD-HC,SBVW,Frontoparietal,Posterior-Multimodal,0
7,BD-HC,SBVW,Frontoparietal,Ventral-Multimodal,0
7,BD-HC,SBVW,Frontoparietal,Orbito-Affective,0
7,BD-HC,SBVW,Language,Visual1,0
7,BD-HC,SBVW,Language,Visual2,0
7,BD-HC,SBVW,Language,Somatomotor,0
7,BD-HC,SBVW,Auditory,Language,0
7,BD-HC,SBVW,Language,Language,0
7,BD-HC,SBVW,Dorsal-attention,Language,0
7,BD-HC,SBVW,Cingulo-Opercular,Language,0
7,BD-HC,SBVW,Language,Posterior-Multimodal,0
7,BD-HC,SBVW,Language,Ventral-Multimodal,0
7,BD-HC,SBVW,Language,Orbito-Affective,0
7,BD-HC,SBVW,Posterior-Multimodal,Visual1,0
7,BD-HC,SBVW,Posterior-Multimodal,Visual2,0
7,BD-HC,SBVW,Posterior-Multimodal,Somatomotor,0
7,BD-HC,SBVW,Auditory,Posterior-Multimodal,0
7,BD-HC,SBVW,Dorsal-attention,Posterior-Multimodal,0
7,BD-HC,SBVW,Cingulo-Opercular,Posterior-Multimodal,0
7,BD-HC,SBVW,Posterior-Multimodal,Posterior-Multimodal,0
7,BD-HC,SBVW,Posterior-Multimodal,Ventral-Multimodal,0
7,BD-HC,SBVW,Orbito-Affective,Posterior-Multimodal,0
7,BD-HC,ICA,Visual1,Visual1,0
7,BD-HC,ICA,Visual2,Visual2,0
7,BD-HC,ICA,Somatomotor,Somatomotor,0
7,BD-HC,ICA,Auditory,Auditory,0
7,BD-HC,ICA,Language,Language,0
7,BD-HC,ICA,Dorsal-attention,Dorsal-attention,0
7,BD-HC,ICA,Frontoparietal,Frontoparietal,0
7,BD-HC,ICA,Cingulo-Opercular,Cingulo-Opercular,0
7,BD-HC,ICA,Default,Default,0
7,BD-HC,ICA,Posterior-Multimodal,Posterior-Multimodal,0
7,BD-HC,ICA,Ventral-Multimodal,Ventral-Multimodal,0
7,BD-HC,ICA,Orbito-Affective,Orbito-Affective,0
10,SZ-HC,ICA,Visual1,Visual1,1
10,SZ-HC,ICA,Visual2,Visual2,1
10,SZ-HC,ICA,Somatomotor,Somatomotor,1
10,SZ-HC,ICA,Language,Language,1
10,SZ-HC,ICA,Dorsal-attention,Dorsal-attention,1
10,SZ-HC,ICA,Frontoparietal,Frontoparietal,1
10,SZ-HC,ICA,Cingulo-Opercular,Cingulo-Opercular,1
10,SZ-HC,ICA,Default,Default,1
10,SZ-HC,ICA,Posterior-Multimodal,Posterior-Multimodal,1
10,SZ-HC,ICA,Default,Default,-1
10,SZ-HC,ICA,Cingulo-Opercular,Cingulo-Opercular,-1
10,SZ-HC,ICA,Frontoparietal,Frontoparietal,-1
10,SZ-HC,ICA,Auditory,Auditory,1
10,SZ-HC,ICA,Visual1,Visual1,0
10,SZ-HC,ICA,Visual2,Visual2,0
10,SZ-HC,ICA,Somatomotor,Somatomotor,0
10,SZ-HC,ICA,Auditory,Auditory,0
10,SZ-HC,ICA,Language,Language,0
10,SZ-HC,ICA,Dorsal-attention,Dorsal-attention,0
10,SZ-HC,ICA,Frontoparietal,Frontoparietal,0
10,SZ-HC,ICA,Cingulo-Opercular,Cingulo-Opercular,0
10,SZ-HC,ICA,Default,Default,0
10,SZ-HC,ICA,Posterior-Multimodal,Posterior-Multimodal,0
10,SZ-HC,ICA,Ventral-Multimodal,Ventral-Multimodal,0
10,SZ-HC,ICA,Orbito-Affective,Orbito-Affective,0
11,SZ-HC,SBCW,Frontoparietal,Frontoparietal,1
11,SZ-HC,SBCW,Frontoparietal,Somatomotor,1
11,SZ-HC,SBCW,Cingulo-Opercular,Somatomotor,1
11,SZ-HC,SBCW,Frontoparietal,Visual1,1
11,SZ-HC,SBCW,Frontoparietal,Visual2,1
11,SZ-HC,SBCW,Frontoparietal,Frontoparietal,-1
11,SZ-HC,SBCW,Cingulo-Opercular,Frontoparietal,-1
11,SZ-HC,SBCW,Auditory,Frontoparietal,-1
11,SZ-HC,SBCW,Visual1,Visual1,0
11,SZ-HC,SBCW,Visual1,Visual2,0
11,SZ-HC,SBCW,Somatomotor,Visual1,0
11,SZ-HC,SBCW,Auditory,Visual1,0
11,SZ-HC,SBCW,Language,Visual1,0
11,SZ-HC,SBCW,Dorsal-attention,Visual1,0
11,SZ-HC,SBCW,Frontoparietal,Visual1,0
11,SZ-HC,SBCW,Cingulo-Opercular,Visual1,0
11,SZ-HC,SBCW,Default,Visual1,0
11,SZ-HC,SBCW,Posterior-Multimodal,Visual1,0
11,SZ-HC,SBCW,Ventral-Multimodal,Visual1,0
11,SZ-HC,SBCW,Orbito-Affective,Visual1,0
11,SZ-HC,SBCW,Visual2,Visual2,0
11,SZ-HC,SBCW,Somatomotor,Visual2,0
11,SZ-HC,SBCW,Auditory,Visual2,0
11,SZ-HC,SBCW,Language,Visual2,0
11,SZ-HC,SBCW,Dorsal-attention,Visual2,0
11,SZ-HC,SBCW,Frontoparietal,Visual2,0
11,SZ-HC,SBCW,Cingulo-Opercular,Visual2,0
11,SZ-HC,SBCW,Default,Visual2,0
11,SZ-HC,SBCW,Posterior-Multimodal,Visual2,0
11,SZ-HC,SBCW,Ventral-Multimodal,Visual2,0
11,SZ-HC,SBCW,Orbito-Affective,Visual2,0
11,SZ-HC,SBCW,Somatomotor,Somatomotor,0
11,SZ-HC,SBCW,Auditory,Somatomotor,0
11,SZ-HC,SBCW,Language,Somatomotor,0
11,SZ-HC,SBCW,Dorsal-attention,Somatomotor,0
11,SZ-HC,SBCW,Frontoparietal,Somatomotor,0
11,SZ-HC,SBCW,Cingulo-Opercular,Somatomotor,0
11,SZ-HC,SBCW,Default,Somatomotor,0
11,SZ-HC,SBCW,Posterior-Multimodal,Somatomotor,0
11,SZ-HC,SBCW,Somatomotor,Ventral-Multimodal,0
11,SZ-HC,SBCW,Orbito-Affective,Somatomotor,0
11,SZ-HC,SBCW,Auditory,Auditory,0
11,SZ-HC,SBCW,Auditory,Language,0
11,SZ-HC,SBCW,Auditory,Dorsal-attention,0
11,SZ-HC,SBCW,Auditory,Frontoparietal,0
11,SZ-HC,SBCW,Auditory,Cingulo-Opercular,0
11,SZ-HC,SBCW,Auditory,Default,0
11,SZ-HC,SBCW,Auditory,Posterior-Multimodal,0
11,SZ-HC,SBCW,Auditory,Ventral-Multimodal,0
11,SZ-HC,SBCW,Auditory,Orbito-Affective,0
11,SZ-HC,SBCW,Language,Language,0
11,SZ-HC,SBCW,Dorsal-attention,Language,0
11,SZ-HC,SBCW,Frontoparietal,Language,0
11,SZ-HC,SBCW,Cingulo-Opercular,Language,0
11,SZ-HC,SBCW,Default,Language,0
11,SZ-HC,SBCW,Language,Posterior-Multimodal,0
11,SZ-HC,SBCW,Language,Ventral-Multimodal,0
11,SZ-HC,SBCW,Language,Orbito-Affective,0
11,SZ-HC,SBCW,Dorsal-attention,Dorsal-attention,0
11,SZ-HC,SBCW,Dorsal-attention,Frontoparietal,0
11,SZ-HC,SBCW,Cingulo-Opercular,Dorsal-attention,0
11,SZ-HC,SBCW,Default,Dorsal-attention,0
11,SZ-HC,SBCW,Dorsal-attention,Posterior-Multimodal,0
11,SZ-HC,SBCW,Dorsal-attention,Ventral-Multimodal,0
11,SZ-HC,SBCW,Dorsal-attention,Orbito-Affective,0
11,SZ-HC,SBCW,Frontoparietal,Frontoparietal,0
11,SZ-HC,SBCW,Cingulo-Opercular,Frontoparietal,0
11,SZ-HC,SBCW,Default,Frontoparietal,0
11,SZ-HC,SBCW,Frontoparietal,Posterior-Multimodal,0
11,SZ-HC,SBCW,Frontoparietal,Ventral-Multimodal,0
11,SZ-HC,SBCW,Frontoparietal,Orbito-Affective,0
11,SZ-HC,SBCW,Cingulo-Opercular,Cingulo-Opercular,0
11,SZ-HC,SBCW,Cingulo-Opercular,Default,0
11,SZ-HC,SBCW,Cingulo-Opercular,Posterior-Multimodal,0
11,SZ-HC,SBCW,Cingulo-Opercular,Ventral-Multimodal,0
11,SZ-HC,SBCW,Cingulo-Opercular,Orbito-Affective,0
11,SZ-HC,SBCW,Default,Default,0
11,SZ-HC,SBCW,Default,Posterior-Multimodal,0
11,SZ-HC,SBCW,Default,Ventral-Multimodal,0
11,SZ-HC,SBCW,Default,Orbito-Affective,0
11,SZ-HC,SBCW,Posterior-Multimodal,Posterior-Multimodal,0
11,SZ-HC,SBCW,Posterior-Multimodal,Ventral-Multimodal,0
11,SZ-HC,SBCW,Orbito-Affective,Posterior-Multimodal,0
11,SZ-HC,SBCW,Ventral-Multimodal,Ventral-Multimodal,0
11,SZ-HC,SBCW,Orbito-Affective,Ventral-Multimodal,0
11,SZ-HC,SBCW,Orbito-Affective,Orbito-Affective,0
16,BD-HC,STR,Frontoparietal,Language,-1
16,BD-HC,STR,Frontoparietal,Posterior-Multimodal,-1
16,BD-HC,STR,Language,Somatomotor,0
16,BD-HC,STR,Language,Language,0
16,BD-HC,STR,Dorsal-attention,Language,0
16,BD-HC,STR,Frontoparietal,Language,0
16,BD-HC,STR,Cingulo-Opercular,Language,0
16,BD-HC,STR,Default,Language,0
16,BD-HC,STR,Language,Orbito-Affective,0
16,BD-HC,STR,Posterior-Multimodal,Somatomotor,0
16,BD-HC,STR,Language,Posterior-Multimodal,0
16,BD-HC,STR,Dorsal-attention,Posterior-Multimodal,0
16,BD-HC,STR,Frontoparietal,Posterior-Multimodal,0
16,BD-HC,STR,Cingulo-Opercular,Posterior-Multimodal,0
16,BD-HC,STR,Default,Posterior-Multimodal,0
16,BD-HC,STR,Orbito-Affective,Posterior-Multimodal,0
18,BD-HC,SBVW,Cingulo-Opercular,Default,1
18,BD-HC,SBVW,Cingulo-Opercular,Frontoparietal,1
18,SZ-HC,SBVW,Cingulo-Opercular,Frontoparietal,1
18,SZ-HC,SBVW,Cingulo-Opercular,Default,1
18,BD-HC,SBVW,Cingulo-Opercular,Visual1,0
18,BD-HC,SBVW,Cingulo-Opercular,Visual2,0
18,BD-HC,SBVW,Cingulo-Opercular,Somatomotor,0
18,BD-HC,SBVW,Auditory,Cingulo-Opercular,0
18,BD-HC,SBVW,Cingulo-Opercular,Language,0
18,BD-HC,SBVW,Cingulo-Opercular,Dorsal-attention,0
18,BD-HC,SBVW,Cingulo-Opercular,Frontoparietal,0
18,BD-HC,SBVW,Cingulo-Opercular,Cingulo-Opercular,0
18,BD-HC,SBVW,Cingulo-Opercular,Default,0
18,BD-HC,SBVW,Cingulo-Opercular,Posterior-Multimodal,0
18,BD-HC,SBVW,Cingulo-Opercular,Ventral-Multimodal,0
18,BD-HC,SBVW,Cingulo-Opercular,Orbito-Affective,0
18,SZ-HC,SBVW,Cingulo-Opercular,Visual1,0
18,SZ-HC,SBVW,Cingulo-Opercular,Visual2,0
18,SZ-HC,SBVW,Cingulo-Opercular,Somatomotor,0
18,SZ-HC,SBVW,Auditory,Cingulo-Opercular,0
18,SZ-HC,SBVW,Cingulo-Opercular,Language,0
18,SZ-HC,SBVW,Cingulo-Opercular,Dorsal-attention,0
18,SZ-HC,SBVW,Cingulo-Opercular,Frontoparietal,0
18,SZ-HC,SBVW,Cingulo-Opercular,Cingulo-Opercular,0
18,SZ-HC,SBVW,Cingulo-Opercular,Default,0
18,SZ-HC,SBVW,Cingulo-Opercular,Posterior-Multimodal,0
18,SZ-HC,SBVW,Cingulo-Opercular,Ventral-Multimodal,0
18,SZ-HC,SBVW,Cingulo-Opercular,Orbito-Affective,0
20,SZ-HC,ReHo,Visual2,Visual2,-1
20,SZ-HC,ReHo,Somatomotor,Somatomotor,-1
20,SZ-HC,ReHo,Frontoparietal,Frontoparietal,-1
20,SZ-HC,ALFF,Visual2,Visual2,-1
20,SZ-HC,ALFF,Somatomotor,Somatomotor,-1
20,SZ-HC,ALFF,Visual1,Visual1,0
20,SZ-HC,ALFF,Visual2,Visual2,0
20,SZ-HC,ALFF,Somatomotor,Somatomotor,0
20,SZ-HC,ALFF,Auditory,Auditory,0
20,SZ-HC,ALFF,Language,Language,0
20,SZ-HC,ALFF,Dorsal-attention,Dorsal-attention,0
20,SZ-HC,ALFF,Frontoparietal,Frontoparietal,0
20,SZ-HC,ALFF,Cingulo-Opercular,Cingulo-Opercular,0
20,SZ-HC,ALFF,Default,Default,0
20,SZ-HC,ALFF,Posterior-Multimodal,Posterior-Multimodal,0
20,SZ-HC,ALFF,Ventral-Multimodal,Ventral-Multimodal,0
20,SZ-HC,ALFF,Orbito-Affective,Orbito-Affective,0
20,SZ-HC,ReHo,Visual1,Visual1,0
20,SZ-HC,ReHo,Visual2,Visual2,0
20,SZ-HC,ReHo,Somatomotor,Somatomotor,0
20,SZ-HC,ReHo,Auditory,Auditory,0
20,SZ-HC,ReHo,Language,Language,0
20,SZ-HC,ReHo,Dorsal-attention,Dorsal-attention,0
20,SZ-HC,ReHo,Frontoparietal,Frontoparietal,0
20,SZ-HC,ReHo,Cingulo-Opercular,Cingulo-Opercular,0
20,SZ-HC,ReHo,Default,Default,0
20,SZ-HC,ReHo,Posterior-Multimodal,Posterior-Multimodal,0
20,SZ-HC,ReHo,Ventral-Multimodal,Ventral-Multimodal,0
20,SZ-HC,ReHo,Orbito-Affective,Orbito-Affective,0
22,SZ-HC,ICA,Frontoparietal,Frontoparietal,-1
22,SZ-HC,ICA,Frontoparietal,Frontoparietal,0
22,SZ-HC,ICA,Default,Default,0
22,SZ-HC,ICA,Auditory,Auditory,0
22,SZ-HC,ICA,Cingulo-Opercular,Cingulo-Opercular,0
22,SZ-HC,ICA,Visual1,Visual1,0
22,SZ-HC,ICA,Visual2,Visual2,0
22,SZ-HC,ICA,Somatomotor,Somatomotor,0
22,SZ-HC,ICA,Language,Language,0
22,SZ-HC,ICA,Dorsal-attention,Dorsal-attention,0
22,SZ-HC,ICA,Posterior-Multimodal,Posterior-Multimodal,0
23,BD-HC,SBCW,Default,Frontoparietal,-1
23,BD-HC,SBCW,Cingulo-Opercular,Default,-1
23,BD-HC,SBCW,Default,Default,-1
23,BD-HC,SBCW,Default,Somatomotor,-1
23,BD-HC,SBCW,Auditory,Default,-1
23,BD-HC,SBCW,Cingulo-Opercular,Frontoparietal,-1
23,BD-HC,SBCW,Cingulo-Opercular,Cingulo-Opercular,-1
23,BD-HC,SBCW,Cingulo-Opercular,Somatomotor,-1
23,BD-HC,SBCW,Auditory,Cingulo-Opercular,-1
23,BD-HC,SBCW,Frontoparietal,Orbito-Affective,-1
23,BD-HC,SBCW,Cingulo-Opercular,Orbito-Affective,-1
23,BD-HC,SBCW,Default,Orbito-Affective,-1
23,BD-HC,SBCW,Orbito-Affective,Somatomotor,-1
23,BD-HC,SBCW,Auditory,Orbito-Affective,-1
23,BD-HC,SBCW,Default,Visual1,0
23,BD-HC,SBCW,Default,Visual2,0
23,BD-HC,SBCW,Default,Somatomotor,0
23,BD-HC,SBCW,Auditory,Default,0
23,BD-HC,SBCW,Default,Language,0
23,BD-HC,SBCW,Default,Dorsal-attention,0
23,BD-HC,SBCW,Default,Frontoparietal,0
23,BD-HC,SBCW,Cingulo-Opercular,Default,0
23,BD-HC,SBCW,Default,Default,0
23,BD-HC,SBCW,Default,Posterior-Multimodal,0
23,BD-HC,SBCW,Default,Ventral-Multimodal,0
23,BD-HC,SBCW,Default,Orbito-Affective,0
23,BD-HC,SBCW,Cingulo-Opercular,Visual1,0
23,BD-HC,SBCW,Cingulo-Opercular,Visual2,0
23,BD-HC,SBCW,Cingulo-Opercular,Somatomotor,0
23,BD-HC,SBCW,Auditory,Cingulo-Opercular,0
23,BD-HC,SBCW,Cingulo-Opercular,Language,0
23,BD-HC,SBCW,Cingulo-Opercular,Dorsal-attention,0
23,BD-HC,SBCW,Cingulo-Opercular,Frontoparietal,0
23,BD-HC,SBCW,Cingulo-Opercular,Cingulo-Opercular,0
23,BD-HC,SBCW,Cingulo-Opercular,Posterior-Multimodal,0
23,BD-HC,SBCW,Cingulo-Opercular,Ventral-Multimodal,0
23,BD-HC,SBCW,Cingulo-Opercular,Orbito-Affective,0
23,BD-HC,SBCW,Orbito-Affective,Visual1,0
23,BD-HC,SBCW,Orbito-Affective,Visual2,0
23,BD-HC,SBCW,Orbito-Affective,Somatomotor,0
23,BD-HC,SBCW,Auditory,Orbito-Affective,0
23,BD-HC,SBCW,Language,Orbito-Affective,0
23,BD-HC,SBCW,Dorsal-attention,Orbito-Affective,0
23,BD-HC,SBCW,Frontoparietal,Orbito-Affective,0
23,BD-HC,SBCW,Orbito-Affective,Posterior-Multimodal,0
23,BD-HC,SBCW,Orbito-Affective,Ventral-Multimodal,0
23,BD-HC,SBCW,Orbito-Affective,Orbito-Affective,0
23,BD-HC,SBCW,Visual1,Visual1,0
23,BD-HC,SBCW,Visual1,Visual2,0
23,BD-HC,SBCW,Somatomotor,Visual1,0
23,BD-HC,SBCW,Auditory,Visual1,0
23,BD-HC,SBCW,Language,Visual1,0
23,BD-HC,SBCW,Dorsal-attention,Visual1,0
23,BD-HC,SBCW,Frontoparietal,Visual1,0
23,BD-HC,SBCW,Posterior-Multimodal,Visual1,0
23,BD-HC,SBCW,Ventral-Multimodal,Visual1,0
23,BD-HC,SBCW,Visual2,Visual2,0
23,BD-HC,SBCW,Somatomotor,Visual2,0
23,BD-HC,SBCW,Auditory,Visual2,0
23,BD-HC,SBCW,Language,Visual2,0
23,BD-HC,SBCW,Dorsal-attention,Visual2,0
23,BD-HC,SBCW,Frontoparietal,Visual2,0
23,BD-HC,SBCW,Posterior-Multimodal,Visual2,0
23,BD-HC,SBCW,Ventral-Multimodal,Visual2,0
23,BD-HC,SBCW,Somatomotor,Somatomotor,0
23,BD-HC,SBCW,Auditory,Somatomotor,0
23,BD-HC,SBCW,Language,Somatomotor,0
23,BD-HC,SBCW,Dorsal-attention,Somatomotor,0
23,BD-HC,SBCW,Frontoparietal,Somatomotor,0
23,BD-HC,SBCW,Posterior-Multimodal,Somatomotor,0
23,BD-HC,SBCW,Somatomotor,Ventral-Multimodal,0
23,BD-HC,SBCW,Auditory,Auditory,0
23,BD-HC,SBCW,Auditory,Language,0
23,BD-HC,SBCW,Auditory,Dorsal-attention,0
23,BD-HC,SBCW,Auditory,Frontoparietal,0
23,BD-HC,SBCW,Auditory,Posterior-Multimodal,0
23,BD-HC,SBCW,Auditory,Ventral-Multimodal,0
23,BD-HC,SBCW,Language,Language,0
23,BD-HC,SBCW,Dorsal-attention,Language,0
23,BD-HC,SBCW,Frontoparietal,Language,0
23,BD-HC,SBCW,Language,Posterior-Multimodal,0
23,BD-HC,SBCW,Language,Ventral-Multimodal,0
23,BD-HC,SBCW,Dorsal-attention,Dorsal-attention,0
23,BD-HC,SBCW,Dorsal-attention,Frontoparietal,0
23,BD-HC,SBCW,Dorsal-attention,Posterior-Multimodal,0
23,BD-HC,SBCW,Dorsal-attention,Ventral-Multimodal,0
23,BD-HC,SBCW,Frontoparietal,Frontoparietal,0
23,BD-HC,SBCW,Frontoparietal,Posterior-Multimodal,0
23,BD-HC,SBCW,Frontoparietal,Ventral-Multimodal,0
23,BD-HC,SBCW,Posterior-Multimodal,Posterior-Multimodal,0
23,BD-HC,SBCW,Posterior-Multimodal,Ventral-Multimodal,0
23,BD-HC,SBCW,Ventral-Multimodal,Ventral-Multimodal,0
27,SZ-HC,SBCW,Auditory,Somatomotor,-1
27,SZ-HC,SBCW,Auditory,Language,-1
27,SZ-HC,SBCW,Auditory,Dorsal-attention,-1
27,SZ-HC,SBCW,Auditory,Frontoparietal,-1
27,SZ-HC,SBCW,Auditory,Cingulo-Opercular,-1
27,SZ-HC,SBCW,Auditory,Default,-1
27,SZ-HC,SBCW,Auditory,Orbito-Affective,-1
27,SZ-HC,SBCW,Somatomotor,Visual2,-1
27,SZ-HC,SBCW,Language,Visual2,-1
27,SZ-HC,SBCW,Dorsal-attention,Visual2,-1
27,SZ-HC,SBCW,Frontoparietal,Visual2,-1
27,SZ-HC,SBCW,Cingulo-Opercular,Visual2,-1
27,SZ-HC,SBCW,Default,Visual2,-1
27,SZ-HC,SBCW,Orbito-Affective,Visual2,-1
27,SZ-HC,SBCW,Somatomotor,Visual1,-1
27,SZ-HC,SBCW,Dorsal-attention,Somatomotor,-1
27,SZ-HC,SBCW,Frontoparietal,Somatomotor,-1
27,SZ-HC,SBCW,Default,Somatomotor,-1
27,SZ-HC,SBCW,Posterior-Multimodal,Somatomotor,-1
27,SZ-HC,SBCW,Visual1,Visual2,-1
27,SZ-HC,SBCW,Visual2,Visual2,-1
27,SZ-HC,SBCW,Posterior-Multimodal,Visual2,-1
27,SZ-HC,SBCW,Auditory,Visual2,-1
27,SZ-HC,SBCW,Auditory,Auditory,-1
27,SZ-HC,SBCW,Somatomotor,Somatomotor,-1
27,SZ-HC,SBCW,Visual1,Visual1,0
27,SZ-HC,SBCW,Visual1,Visual2,0
27,SZ-HC,SBCW,Somatomotor,Visual1,0
27,SZ-HC,SBCW,Auditory,Visual1,0
27,SZ-HC,SBCW,Language,Visual1,0
27,SZ-HC,SBCW,Dorsal-attention,Visual1,0
27,SZ-HC,SBCW,Frontoparietal,Visual1,0
27,SZ-HC,SBCW,Cingulo-Opercular,Visual1,0
27,SZ-HC,SBCW,Default,Visual1,0
27,SZ-HC,SBCW,Posterior-Multimodal,Visual1,0
27,SZ-HC,SBCW,Ventral-Multimodal,Visual1,0
27,SZ-HC,SBCW,Orbito-Affective,Visual1,0
27,SZ-HC,SBCW,Visual2,Visual2,0
27,SZ-HC,SBCW,Somatomotor,Visual2,0
27,SZ-HC,SBCW,Auditory,Visual2,0
27,SZ-HC,SBCW,Language,Visual2,0
27,SZ-HC,SBCW,Dorsal-attention,Visual2,0
27,SZ-HC,SBCW,Frontoparietal,Visual2,0
27,SZ-HC,SBCW,Cingulo-Opercular,Visual2,0
27,SZ-HC,SBCW,Default,Visual2,0
27,SZ-HC,SBCW,Posterior-Multimodal,Visual2,0
27,SZ-HC,SBCW,Ventral-Multimodal,Visual2,0
27,SZ-HC,SBCW,Orbito-Affective,Visual2,0
27,SZ-HC,SBCW,Somatomotor,Somatomotor,0
27,SZ-HC,SBCW,Auditory,Somatomotor,0
27,SZ-HC,SBCW,Language,Somatomotor,0
27,SZ-HC,SBCW,Dorsal-attention,Somatomotor,0
27,SZ-HC,SBCW,Frontoparietal,Somatomotor,0
27,SZ-HC,SBCW,Cingulo-Opercular,Somatomotor,0
